Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","Raspberry Pi 4 Model B (4GB)","High-performance processor required for handling VGA thermal video stream and cellular data.","electrical","mcu",1,55.00,55.00,"https://www.digikey.com/en/products/detail/raspberry-pi/RASPBERRY-PI-4-MODEL-B-4GB/10258745"
"High-Res Thermal Imager","FLIR Boson 640 Radiometric","640x512 VGA resolution radiometric thermal camera for legal-grade fault inspection.","electrical","sensor",1,2800.00,2800.00,"https://www.flir.com/products/boson/"
"5G Communications Module","Sixfab 5G Modem Kit","High-speed 5G module for real-time video transmission in remote corridors.","electrical","module",1,350.00,350.00,"https://sixfab.com/product/raspberry-pi-5g-modem-kit/"
"Dual Motor Controller","Sabertooth 2x32","High-current motor driver for heavy-duty differential drive system.","electrical","module",1,125.00,125.00,"https://www.dimensionengineering.com/products/sabertooth2x32"
"Left Drive Motor","GoBILDA 5203 Series Yellow Jacket","High-torque planetary gear motor for service road navigation.","electrical","actuator",1,35.00,35.00,"https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-312-rpm-3-3-5v-encoder/"
"Right Drive Motor","GoBILDA 5203 Series Yellow Jacket","High-torque planetary gear motor for service road navigation.","electrical","actuator",1,35.00,35.00,"https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-312-rpm-3-3-5v-encoder/"
"Main Power Source","Bioenno 12V 20Ah LiFePO4","4S LiFePO4 pack for high capacity and long-duration autonomous missions.","electrical","power",1,220.00,220.00,"https://www.bioennopower.com/products/12v-20ah-lfp-battery"
"MCU Power Regulator","SD200-5 Step Down","High-efficiency buck converter for stable Raspberry Pi power.","electrical","power",1,15.00,15.00,"https://www.amazon.com/s?k=12V+to+5V+5A+buck+converter"
"Chassis Frame Rail","2020 V-Slot Aluminum Extrusion","Main structural frame for the differential drive chassis.","mechanical","structural",4,4.50,18.00,"https://www.amazon.com/s?k=2020+v-slot+aluminum+extrusion+300mm"
"Drive Wheel","120mm Rough Terrain Robot Wheel","High-traction wheels for service road asphalt and light gravel.","mechanical","mechanism",2,12.00,24.00,"https://www.amazon.com/s?k=120mm+robot+wheels"
"Rear Swivel Caster","2-inch Heavy Duty Caster","Rear support wheel for differential steering balance.","mechanical","mechanism",1,8.50,8.50,"https://www.amazon.com/s?k=2+inch+swivel+caster+plate"
"Weatherproof Housing","","IP65-rated custom enclosure for MCU and cellular modem.","mechanical","3d_printed",1,15.00,15.00,"https://www.amazon.com/s?k=PETG+filament+1.75mm"
"Thermal Camera Mount","Thermal Camera Mount","Secure mount for the FLIR Boson camera with vibration isolation.","mechanical","3d_printed",1,3.50,3.50,"https://www.amazon.com/s?k=PETG+filament+1.75mm"
"Motor Mounting Plate","Motor Mounting Plate","Reinforced brackets to adapt GoBILDA motors to 2020 extrusion.","mechanical","3d_printed",2,2.50,5.00,"https://www.amazon.com/s?k=PETG+filament+1.75mm"
"90 Degree Corner Bracket","2020 Aluminum Corner Bracket","Connects the aluminum extrusions into a square frame.","mechanical","structural",8,0.75,6.00,"https://www.amazon.com/s?k=2020+aluminum+corner+bracket"
"T-Slot Nuts","M5 T-Nuts for 2020 Profile","Hardware for mounting parts to the aluminum frame.","mechanical","misc",20,0.10,2.00,"https://www.amazon.com/s?k=M5+T-nuts+2020"
"Frame Screws","M5 Button Head Hex Screws","Main fasteners for the structural frame.","mechanical","misc",20,0.08,1.60,"https://www.amazon.com/s?k=M5+button+head+screws"
"PCB Standoffs","M3 Nylon Hex Standoffs","Mounts the RPi and Motor Driver inside the enclosure.","mechanical","misc",8,0.05,0.40,"https://www.amazon.com/s?k=M3+nylon+standoff+kit"
