Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Flight Controller","Cube Orange+ Standard Set","Main autopilot running PX4 for autonomous flight control and sensor stabilization.","electrical","mcu",1,350.00,350.00,"https://www.digikey.com/en/products/result?keywords=Cube+Orange+Plus"
"Companion Computer","NVIDIA Jetson Orin Nano","Edge computer for real-time multispectral data processing and autonomous landing vision.","electrical","mcu",1,499.00,499.00,"https://www.digikey.com/en/products/result?keywords=Jetson+Orin+Nano"
"Multispectral Camera","MicaSense RedEdge-P","High-resolution sensor for pH, moisture, and nitrogen vegetation indices mapping.","electrical","sensor",1,8500.00,8500.00,"https://www.micasense.com/rededge-p/"
"RTK GPS Module","Here3+ GPS RTK","High-precision positioning for centimeter-level soil mapping.","electrical","sensor",1,220.00,220.00,"https://www.digikey.com/en/products/result?keywords=Here3+GPS"
"ESC Motor 1","T-Motor Flame 60A","Electronic Speed Controller for brushless motor 1.","electrical","actuator",1,65.00,65.00,"https://www.amazon.com/s?k=T-Motor+Flame+60A"
"ESC Motor 2","T-Motor Flame 60A","Electronic Speed Controller for brushless motor 2.","electrical","actuator",1,65.00,65.00,"https://www.amazon.com/s?k=T-Motor+Flame+60A"
"ESC Motor 3","T-Motor Flame 60A","Electronic Speed Controller for brushless motor 3.","electrical","actuator",1,65.00,65.00,"https://www.amazon.com/s?k=T-Motor+Flame+60A"
"ESC Motor 4","T-Motor Flame 60A","Electronic Speed Controller for brushless motor 4.","electrical","actuator",1,65.00,65.00,"https://www.amazon.com/s?k=T-Motor+Flame+60A"
"ESC Motor 5","T-Motor Flame 60A","Electronic Speed Controller for brushless motor 5.","electrical","actuator",1,65.00,65.00,"https://www.amazon.com/s?k=T-Motor+Flame+60A"
"ESC Motor 6","T-Motor Flame 60A","Electronic Speed Controller for brushless motor 6.","electrical","actuator",1,65.00,65.00,"https://www.amazon.com/s?k=T-Motor+Flame+60A"
"PDB and Regulator","Maucn PL-200","High-current power distribution board with regulated 5V and 12V rails.","electrical","power",1,85.00,85.00,"https://www.amazon.com/s?k=Maucn+Power+Module"
"Flight Battery","Tattu Plus 6S 22000mAh","High-capacity LiPo battery for heavy-lift endurance.","electrical","power",1,450.00,450.00,"https://www.amazon.com/s?k=Tattu+6S+22000mAh"
"Telemetry Radio","Holybro SiK Telemetry Radio","Long-range communication link to the ground vehicle.","electrical","module",1,45.00,45.00,"https://www.digikey.com/en/products/result?keywords=SiK+Telemetry+Radio"
"Hexacopter Frame","Tarot 680PRO Carbon Fiber Frame","Professional carbon fiber folding frame for high-lift payloads.","mechanical","structural",1,165.00,165.00,"https://www.amazon.com/s?k=Tarot+680PRO+Hexacopter+Frame"
"Brushless Motor 1","T-Motor MN4014 KV400","High-efficiency motor for heavy lift.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=T-Motor+MN4014"
"Brushless Motor 2","T-Motor MN4014 KV400","High-efficiency motor for heavy lift.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=T-Motor+MN4014"
"Brushless Motor 3","T-Motor MN4014 KV400","High-efficiency motor for heavy lift.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=T-Motor+MN4014"
"Brushless Motor 4","T-Motor MN4014 KV400","High-efficiency motor for heavy lift.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=T-Motor+MN4014"
"Brushless Motor 5","T-Motor MN4014 KV400","High-efficiency motor for heavy lift.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=T-Motor+MN4014"
"Brushless Motor 6","T-Motor MN4014 KV400","High-efficiency motor for heavy lift.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=T-Motor+MN4014"
"Camera Gimbal Mount","3-Axis Stabilized Gimbal for Multispectral","Active stabilization for downward multispectral imaging.","mechanical","mechanism",1,250.00,250.00,"https://www.amazon.com/s?k=3-axis+brushless+gimbal+drone"
"Jetson Mount Plate","Jetson Nano Mount Plate","Custom mount for Jetson Orin Nano with vibration damping holes.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=PETG+filament"
"GPS Mast Mount","Folding GPS Mount Antenna Seat","Elevates RTK GPS to reduce interference.","mechanical","structural",1,12.00,12.00,"https://www.amazon.com/s?k=drone+gps+mast"
"Vehicle Landing Cradle","","UV-resistant corner guides for vehicle-top automated landing.","mechanical","3d_printed",4,8.00,32.00,"https://www.amazon.com/s?k=ASA+filament"
"Hex Standoff Screws","M3 Button Head Screw","Standard fasteners for electronics and frame assembly.","mechanical","misc",24,0.05,1.20,"https://www.amazon.com/s?k=M3+button+head+screws"
"Carbon Propeller Set","T-Motor 15x5 Carbon Fiber Prop","Matched CW/CCW pairs for 15-inch lift efficiency.","mechanical","mechanism",3,60.00,180.00,"https://www.amazon.com/s?k=1550+carbon+fiber+propeller"
